complaint_text,category,priority,department
Urgent attention is required due to contaminated drinking water.,Water,High,Water Department
Authorities have not resolved the blocked fire exit yet.,Fire Hazard,High,Fire Hazard Department
People are suffering because of power outage.,Electricity,High,Electricity Department
Please take immediate action regarding missing extinguishers.,Fire Hazard,High,Fire Hazard Department
Residents are facing overflowing dustbins in the area.,Waste,Medium,Waste Department
Residents are facing crop damage in the area.,Agriculture,Medium,Agriculture Department
The locality has been affected by illegal dumping for several days.,Waste,Medium,Waste Department
Residents are facing tree cutting in the area.,Environment,Medium,Environment Department
The locality has been affected by housing maintenance issue for several days.,Housing,Medium,Housing Department
The situation is worsening because of abandoned building risk.,Public Safety,Medium,Public Safety Department
Urgent attention is required due to online service failure.,Digital Services,Low,Digital Services Department
People are suffering because of open sewage.,Sewage,High,Sewage Department
The situation is worsening because of industrial noise.,Noise Pollution,Medium,Noise Pollution Department
Citizens have repeatedly reported unsafe school route.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of rainwater accumulation.,Flooding,High,Flooding Department
People are suffering because of building crack.,Housing,Medium,Housing Department
Multiple complaints have been raised about fire safety violation.,Fire Hazard,High,Fire Hazard Department
Urgent attention is required due to traffic congestion.,Transport,Medium,Transport Department
There is a serious problem involving digital payment issue.,Digital Services,Low,Digital Services Department
Urgent attention is required due to government portal outage.,Digital Services,Low,Digital Services Department
The situation is worsening because of lack of police patrol.,Public Safety,Medium,Public Safety Department
Authorities have not resolved the missing child report yet.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported wastewater leakage.,Sewage,High,Sewage Department
Residents are facing vehicle obstruction in the area.,Parking,Low,Parking Department
Please take immediate action regarding certificate issue.,Government Services,Medium,Government Services Department
Authorities have not resolved the blocked fire exit yet.,Fire Hazard,High,Fire Hazard Department
The locality has been affected by illegal sand mining for several days.,Environment,Medium,Environment Department
The locality has been affected by telecom service issue for several days.,Telecom,Medium,Telecom Department
The situation is worsening because of poor drainage system.,Drainage,Medium,Drainage Department
Multiple complaints have been raised about rainwater accumulation.,Flooding,High,Flooding Department
There is a serious problem involving certificate issue.,Government Services,Medium,Government Services Department
Urgent attention is required due to footpath encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing water shortage in the area.,Water,High,Water Department
Residents are facing official misconduct in the area.,Corruption,Medium,Corruption Department
Residents are facing damaged benches in the area.,Parks,Low,Parks Department
Authorities have not resolved the overflowing dustbins yet.,Waste,Medium,Waste Department
People are suffering because of illegal parking.,Parking,Low,Parking Department
Residents are facing waste collection delay in the area.,Waste,Medium,Waste Department
Urgent attention is required due to unclean park.,Parks,Low,Parks Department
There is a serious problem involving robbery case.,Crime,High,Crime Department
Authorities have not resolved the document processing delay yet.,Government Services,Medium,Government Services Department
Residents are facing illegal building extension in the area.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported certificate issue.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported flooded street.,Flooding,High,Flooding Department
Citizens have repeatedly reported unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
Please take immediate action regarding illegal parking.,Parking,Low,Parking Department
Residents are facing harassment of women in the area.,Women & Child Safety,High,Women & Child Safety Department
Multiple complaints have been raised about crop damage.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about electric line fault.,Electricity,High,Electricity Department
Please take immediate action regarding online service failure.,Digital Services,Low,Digital Services Department
The situation is worsening because of damaged benches.,Parks,Low,Parks Department
Urgent attention is required due to air pollution.,Pollution,Medium,Pollution Department
Residents are facing sewage smell in the area.,Sewage,High,Sewage Department
Citizens have repeatedly reported road blockage.,Transport,Medium,Transport Department
Please take immediate action regarding rainwater accumulation.,Flooding,High,Flooding Department
Multiple complaints have been raised about flood risk.,Flooding,High,Flooding Department
Multiple complaints have been raised about poor mobile signal.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about road encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing irrigation issue in the area.,Agriculture,Medium,Agriculture Department
Citizens have repeatedly reported child safety concern.,Women & Child Safety,High,Women & Child Safety Department
Authorities have not resolved the construction without permit yet.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported tree cutting.,Environment,Medium,Environment Department
Authorities have not resolved the broadband failure yet.,Telecom,Medium,Telecom Department
Residents are facing road blockage in the area.,Transport,Medium,Transport Department
The locality has been affected by housing maintenance issue for several days.,Housing,Medium,Housing Department
The situation is worsening because of collapsed pavement.,Infrastructure,Medium,Infrastructure Department
Multiple complaints have been raised about overflowing dustbins.,Waste,Medium,Waste Department
Urgent attention is required due to poor drainage system.,Drainage,Medium,Drainage Department
Residents are facing broadband failure in the area.,Telecom,Medium,Telecom Department
Citizens have repeatedly reported wastewater leakage.,Sewage,High,Sewage Department
Residents are facing garbage accumulation in the area.,Waste,Medium,Waste Department
Citizens have repeatedly reported faulty street lighting.,Streetlight,Medium,Streetlight Department
Residents are facing footpath encroachment in the area.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the sewage smell yet.,Sewage,High,Sewage Department
Multiple complaints have been raised about blocked fire exit.,Fire Hazard,High,Fire Hazard Department
The situation is worsening because of animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding drain overflow.,Drainage,Medium,Drainage Department
Please take immediate action regarding overgrown vegetation.,Parks,Low,Parks Department
The locality has been affected by pest infestation for several days.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about street vendor blockage.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the ambulance delay yet.,Healthcare,High,Healthcare Department
Residents are facing pest infestation in the area.,Agriculture,Medium,Agriculture Department
Authorities have not resolved the network outage yet.,Telecom,Medium,Telecom Department
Authorities have not resolved the double parking yet.,Parking,Low,Parking Department
The situation is worsening because of fire safety violation.,Fire Hazard,High,Fire Hazard Department
Authorities have not resolved the electrical fire risk yet.,Fire Hazard,High,Fire Hazard Department
The situation is worsening because of sewer blockage.,Sewage,High,Sewage Department
Authorities have not resolved the broken playground equipment yet.,Parks,Low,Parks Department
Authorities have not resolved the unsafe school route yet.,Women & Child Safety,High,Women & Child Safety Department
People are suffering because of overgrown vegetation.,Parks,Low,Parks Department
Authorities have not resolved the water shortage yet.,Water,High,Water Department
There is a serious problem involving certificate issue.,Government Services,Medium,Government Services Department
The locality has been affected by missing child report for several days.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by online service failure for several days.,Digital Services,Low,Digital Services Department
Authorities have not resolved the river pollution yet.,Environment,Medium,Environment Department
The situation is worsening because of animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported dry public taps.,Water,High,Water Department
Please take immediate action regarding monkey nuisance.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by abandoned building risk for several days.,Public Safety,Medium,Public Safety Department
Multiple complaints have been raised about road blockage.,Transport,Medium,Transport Department
Multiple complaints have been raised about public land encroachment.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to pipeline leakage.,Water,High,Water Department
Citizens have repeatedly reported server downtime.,Digital Services,Low,Digital Services Department
Multiple complaints have been raised about parking shortage.,Parking,Low,Parking Department
The locality has been affected by park maintenance issue for several days.,Parks,Low,Parks Department
Multiple complaints have been raised about rainwater accumulation.,Flooding,High,Flooding Department
There is a serious problem involving electrical fire risk.,Fire Hazard,High,Fire Hazard Department
People are suffering because of collapsed pavement.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the industrial noise yet.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of blocked drain.,Drainage,Medium,Drainage Department
The situation is worsening because of toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
Residents are facing faulty street lighting in the area.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding waterlogging.,Flooding,High,Flooding Department
Please take immediate action regarding child safety concern.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding broadband failure.,Telecom,Medium,Telecom Department
People are suffering because of office inefficiency.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about missing extinguishers.,Fire Hazard,High,Fire Hazard Department
Please take immediate action regarding cybercrime activity.,Crime,High,Crime Department
Multiple complaints have been raised about toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
Authorities have not resolved the wastewater leakage yet.,Sewage,High,Sewage Department
The situation is worsening because of streetlight not working.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding damaged benches.,Parks,Low,Parks Department
Urgent attention is required due to unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing unsafe apartment in the area.,Housing,Medium,Housing Department
Residents are facing voltage fluctuation in the area.,Electricity,High,Electricity Department
The locality has been affected by dry public taps for several days.,Water,High,Water Department
Multiple complaints have been raised about unsafe classrooms.,Education,Medium,Education Department
The situation is worsening because of official misconduct.,Corruption,Medium,Corruption Department
There is a serious problem involving animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Residents are facing missing lights in the area.,Streetlight,Medium,Streetlight Department
Residents are facing illegal building extension in the area.,Illegal Construction,Medium,Illegal Construction Department
Multiple complaints have been raised about poor mobile signal.,Telecom,Medium,Telecom Department
Please take immediate action regarding theft incident.,Crime,High,Crime Department
People are suffering because of industrial smoke.,Pollution,Medium,Pollution Department
Please take immediate action regarding unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
Authorities have not resolved the unsafe construction yet.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Multiple complaints have been raised about teacher shortage.,Education,Medium,Education Department
Authorities have not resolved the network outage yet.,Telecom,Medium,Telecom Department
People are suffering because of public land encroachment.,Encroachment,Medium,Encroachment Department
The locality has been affected by large potholes for several days.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the hospital overcrowding yet.,Healthcare,High,Healthcare Department
Please take immediate action regarding construction noise.,Noise Pollution,Medium,Noise Pollution Department
Residents are facing unsafe construction in the area.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing lack of police patrol in the area.,Public Safety,Medium,Public Safety Department
Citizens have repeatedly reported pipeline leakage.,Water,High,Water Department
Urgent attention is required due to low water pressure.,Water,High,Water Department
Authorities have not resolved the vehicle obstruction yet.,Parking,Low,Parking Department
The locality has been affected by construction without permit for several days.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving broken school furniture.,Education,Medium,Education Department
There is a serious problem involving dark street.,Streetlight,Medium,Streetlight Department
Residents are facing parking shortage in the area.,Parking,Low,Parking Department
There is a serious problem involving corrupt practice.,Corruption,Medium,Corruption Department
Urgent attention is required due to document processing delay.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about poor drainage system.,Drainage,Medium,Drainage Department
There is a serious problem involving missing lights.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the school infrastructure issue yet.,Education,Medium,Education Department
Citizens have repeatedly reported damaged benches.,Parks,Low,Parks Department
Urgent attention is required due to damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to dark street.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to waterlogging.,Flooding,High,Flooding Department
The situation is worsening because of public harassment.,Public Safety,Medium,Public Safety Department
People are suffering because of damaged benches.,Parks,Low,Parks Department
Citizens have repeatedly reported eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of illegal occupation.,Encroachment,Medium,Encroachment Department
The situation is worsening because of kidnapping complaint.,Crime,High,Crime Department
People are suffering because of irrigation issue.,Agriculture,Medium,Agriculture Department
Authorities have not resolved the unsafe construction yet.,Illegal Construction,Medium,Illegal Construction Department
Authorities have not resolved the illegal building extension yet.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported broken toilet facility.,Public Toilets,Medium,Public Toilets Department
Urgent attention is required due to river pollution.,Environment,Medium,Environment Department
Citizens have repeatedly reported roof leakage.,Housing,Medium,Housing Department
There is a serious problem involving damaged road.,Infrastructure,Medium,Infrastructure Department
The situation is worsening because of flammable waste.,Fire Hazard,High,Fire Hazard Department
The situation is worsening because of fire safety violation.,Fire Hazard,High,Fire Hazard Department
Urgent attention is required due to public grievance unresolved.,Government Services,Medium,Government Services Department
Authorities have not resolved the hospital overcrowding yet.,Healthcare,High,Healthcare Department
The situation is worsening because of telecom service issue.,Telecom,Medium,Telecom Department
Urgent attention is required due to kidnapping complaint.,Crime,High,Crime Department
Multiple complaints have been raised about ambulance delay.,Healthcare,High,Healthcare Department
The situation is worsening because of corrupt practice.,Corruption,Medium,Corruption Department
Residents are facing voltage fluctuation in the area.,Electricity,High,Electricity Department
People are suffering because of internet disruption.,Telecom,Medium,Telecom Department
People are suffering because of illegal parking.,Parking,Low,Parking Department
Multiple complaints have been raised about crop damage.,Agriculture,Medium,Agriculture Department
Urgent attention is required due to road blockage.,Transport,Medium,Transport Department
The locality has been affected by public harassment for several days.,Public Safety,Medium,Public Safety Department
Residents are facing crop damage in the area.,Agriculture,Medium,Agriculture Department
Urgent attention is required due to cattle on roads.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported road blockage.,Transport,Medium,Transport Department
There is a serious problem involving government portal outage.,Digital Services,Low,Digital Services Department
There is a serious problem involving cattle on roads.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about unsafe school route.,Women & Child Safety,High,Women & Child Safety Department
People are suffering because of rainwater accumulation.,Flooding,High,Flooding Department
Citizens have repeatedly reported road encroachment.,Encroachment,Medium,Encroachment Department
Please take immediate action regarding park maintenance issue.,Parks,Low,Parks Department
People are suffering because of loss of green cover.,Environment,Medium,Environment Department
Please take immediate action regarding unclean park.,Parks,Low,Parks Department
The locality has been affected by streetlight not working for several days.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to bribery complaint.,Corruption,Medium,Corruption Department
The locality has been affected by waterlogging for several days.,Flooding,High,Flooding Department
Urgent attention is required due to park maintenance issue.,Parks,Low,Parks Department
Citizens have repeatedly reported kidnapping complaint.,Crime,High,Crime Department
The locality has been affected by document processing delay for several days.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about missing child report.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported teacher shortage.,Education,Medium,Education Department
Multiple complaints have been raised about broadband failure.,Telecom,Medium,Telecom Department
Citizens have repeatedly reported wastewater leakage.,Sewage,High,Sewage Department
Please take immediate action regarding garbage accumulation.,Waste,Medium,Waste Department
People are suffering because of large potholes.,Infrastructure,Medium,Infrastructure Department
Urgent attention is required due to government portal outage.,Digital Services,Low,Digital Services Department
Authorities have not resolved the sewer blockage yet.,Sewage,High,Sewage Department
There is a serious problem involving dark street.,Streetlight,Medium,Streetlight Department
The locality has been affected by lack of sanitation for several days.,Public Toilets,Medium,Public Toilets Department
Authorities have not resolved the damaged benches yet.,Parks,Low,Parks Department
People are suffering because of certificate issue.,Government Services,Medium,Government Services Department
The situation is worsening because of air pollution.,Pollution,Medium,Pollution Department
Citizens have repeatedly reported missing lights.,Streetlight,Medium,Streetlight Department
The situation is worsening because of building crack.,Housing,Medium,Housing Department
People are suffering because of corrupt practice.,Corruption,Medium,Corruption Department
Please take immediate action regarding stagnant water.,Drainage,Medium,Drainage Department
Residents are facing lack of toilets in school in the area.,Education,Medium,Education Department
Please take immediate action regarding blocked driveway.,Parking,Low,Parking Department
People are suffering because of online service failure.,Digital Services,Low,Digital Services Department
There is a serious problem involving air pollution.,Pollution,Medium,Pollution Department
People are suffering because of illegal occupation.,Encroachment,Medium,Encroachment Department
People are suffering because of lack of sanitation.,Public Toilets,Medium,Public Toilets Department
There is a serious problem involving poor mobile signal.,Telecom,Medium,Telecom Department
Authorities have not resolved the bribery complaint yet.,Corruption,Medium,Corruption Department
The locality has been affected by collapsed pavement for several days.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the park maintenance issue yet.,Parks,Low,Parks Department
Citizens have repeatedly reported cattle on roads.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the injured animal yet.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding industrial smoke.,Pollution,Medium,Pollution Department
There is a serious problem involving illegal occupation.,Encroachment,Medium,Encroachment Department
The locality has been affected by missing lights for several days.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to broadband failure.,Telecom,Medium,Telecom Department
The locality has been affected by document processing delay for several days.,Government Services,Medium,Government Services Department
Residents are facing broadband failure in the area.,Telecom,Medium,Telecom Department
The situation is worsening because of roof leakage.,Housing,Medium,Housing Department
There is a serious problem involving dust pollution.,Pollution,Medium,Pollution Department
Residents are facing lack of police patrol in the area.,Public Safety,Medium,Public Safety Department
Residents are facing server downtime in the area.,Digital Services,Low,Digital Services Department
Citizens have repeatedly reported ecosystem damage.,Environment,Medium,Environment Department
Authorities have not resolved the waste collection delay yet.,Waste,Medium,Waste Department
Citizens have repeatedly reported lack of doctors.,Healthcare,High,Healthcare Department
Multiple complaints have been raised about eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Authorities have not resolved the waterlogging yet.,Flooding,High,Flooding Department
Residents are facing fertilizer shortage in the area.,Agriculture,Medium,Agriculture Department
Residents are facing stagnant water in the area.,Drainage,Medium,Drainage Department
Multiple complaints have been raised about corrupt practice.,Corruption,Medium,Corruption Department
The situation is worsening because of water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Authorities have not resolved the large potholes yet.,Infrastructure,Medium,Infrastructure Department
Please take immediate action regarding cattle on roads.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to bus delay.,Transport,Medium,Transport Department
The situation is worsening because of vehicle obstruction.,Parking,Low,Parking Department
The situation is worsening because of eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of voltage fluctuation.,Electricity,High,Electricity Department
Urgent attention is required due to streetlight not working.,Streetlight,Medium,Streetlight Department
Residents are facing illegal building extension in the area.,Illegal Construction,Medium,Illegal Construction Department
Multiple complaints have been raised about broken footpath.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the toilet maintenance issue yet.,Public Toilets,Medium,Public Toilets Department
Residents are facing stagnant water in the area.,Drainage,Medium,Drainage Department
The situation is worsening because of sewer blockage.,Sewage,High,Sewage Department
Please take immediate action regarding bus delay.,Transport,Medium,Transport Department
The locality has been affected by medicine shortage for several days.,Healthcare,High,Healthcare Department
People are suffering because of flammable waste.,Fire Hazard,High,Fire Hazard Department
There is a serious problem involving monkey nuisance.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about road blockage.,Transport,Medium,Transport Department
People are suffering because of garbage accumulation.,Waste,Medium,Waste Department
Residents are facing clogged storm drain in the area.,Drainage,Medium,Drainage Department
Urgent attention is required due to pest infestation.,Agriculture,Medium,Agriculture Department
The situation is worsening because of theft incident.,Crime,High,Crime Department
Urgent attention is required due to sewer blockage.,Sewage,High,Sewage Department
Multiple complaints have been raised about ambulance delay.,Healthcare,High,Healthcare Department
Please take immediate action regarding dark street.,Streetlight,Medium,Streetlight Department
The locality has been affected by document processing delay for several days.,Government Services,Medium,Government Services Department
There is a serious problem involving public land encroachment.,Encroachment,Medium,Encroachment Department
Please take immediate action regarding fire safety violation.,Fire Hazard,High,Fire Hazard Department
Authorities have not resolved the waterlogging yet.,Flooding,High,Flooding Department
Please take immediate action regarding unsafe bridge.,Infrastructure,Medium,Infrastructure Department
Multiple complaints have been raised about street vendor blockage.,Encroachment,Medium,Encroachment Department
People are suffering because of collapsed pavement.,Infrastructure,Medium,Infrastructure Department
There is a serious problem involving illegal parking.,Parking,Low,Parking Department
The situation is worsening because of robbery case.,Crime,High,Crime Department
The locality has been affected by chemical discharge for several days.,Pollution,Medium,Pollution Department
Please take immediate action regarding public land encroachment.,Encroachment,Medium,Encroachment Department
The situation is worsening because of crop damage.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about blocked fire exit.,Fire Hazard,High,Fire Hazard Department
Please take immediate action regarding large potholes.,Infrastructure,Medium,Infrastructure Department
Citizens have repeatedly reported server downtime.,Digital Services,Low,Digital Services Department
Please take immediate action regarding unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
There is a serious problem involving parking shortage.,Parking,Low,Parking Department
Authorities have not resolved the assault report yet.,Crime,High,Crime Department
Please take immediate action regarding broadband failure.,Telecom,Medium,Telecom Department
People are suffering because of network outage.,Telecom,Medium,Telecom Department
The situation is worsening because of unsafe bridge.,Infrastructure,Medium,Infrastructure Department
There is a serious problem involving street vendor blockage.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to pipeline leakage.,Water,High,Water Department
Multiple complaints have been raised about faulty street lighting.,Streetlight,Medium,Streetlight Department
People are suffering because of unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Residents are facing sewer blockage in the area.,Sewage,High,Sewage Department
People are suffering because of unsafe classrooms.,Education,Medium,Education Department
The locality has been affected by power outage for several days.,Electricity,High,Electricity Department
Authorities have not resolved the low water pressure yet.,Water,High,Water Department
Citizens have repeatedly reported farm water problem.,Agriculture,Medium,Agriculture Department
The situation is worsening because of damaged benches.,Parks,Low,Parks Department
Citizens have repeatedly reported loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of pest infestation.,Agriculture,Medium,Agriculture Department
The locality has been affected by document processing delay for several days.,Government Services,Medium,Government Services Department
The situation is worsening because of traffic noise.,Noise Pollution,Medium,Noise Pollution Department
Authorities have not resolved the public harassment yet.,Public Safety,Medium,Public Safety Department
Residents are facing transformer failure in the area.,Electricity,High,Electricity Department
Multiple complaints have been raised about school infrastructure issue.,Education,Medium,Education Department
Urgent attention is required due to poor mobile signal.,Telecom,Medium,Telecom Department
People are suffering because of river pollution.,Environment,Medium,Environment Department
The situation is worsening because of blocked drain.,Drainage,Medium,Drainage Department
Citizens have repeatedly reported official misconduct.,Corruption,Medium,Corruption Department
The situation is worsening because of double parking.,Parking,Low,Parking Department
Residents are facing housing maintenance issue in the area.,Housing,Medium,Housing Department
The situation is worsening because of uncleared waste.,Waste,Medium,Waste Department
There is a serious problem involving footpath encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing traffic congestion in the area.,Transport,Medium,Transport Department
Please take immediate action regarding wastewater leakage.,Sewage,High,Sewage Department
Urgent attention is required due to hospital overcrowding.,Healthcare,High,Healthcare Department
Please take immediate action regarding unsafe area.,Public Safety,Medium,Public Safety Department
The locality has been affected by unclean park for several days.,Parks,Low,Parks Department
Please take immediate action regarding damaged road.,Infrastructure,Medium,Infrastructure Department
The situation is worsening because of poor sanitation in hospital.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported poor public transport.,Transport,Medium,Transport Department
The situation is worsening because of traffic congestion.,Transport,Medium,Transport Department
Please take immediate action regarding irrigation issue.,Agriculture,Medium,Agriculture Department
The situation is worsening because of office inefficiency.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported chemical discharge.,Pollution,Medium,Pollution Department
Citizens have repeatedly reported tree cutting.,Environment,Medium,Environment Department
Please take immediate action regarding overgrown vegetation.,Parks,Low,Parks Department
Citizens have repeatedly reported construction without permit.,Illegal Construction,Medium,Illegal Construction Department
Multiple complaints have been raised about fertilizer shortage.,Agriculture,Medium,Agriculture Department
The situation is worsening because of pipeline leakage.,Water,High,Water Department
There is a serious problem involving website not working.,Digital Services,Low,Digital Services Department
The locality has been affected by river pollution for several days.,Environment,Medium,Environment Department
Residents are facing power outage in the area.,Electricity,High,Electricity Department
Please take immediate action regarding dark street.,Streetlight,Medium,Streetlight Department
Residents are facing school infrastructure issue in the area.,Education,Medium,Education Department
There is a serious problem involving fire safety violation.,Fire Hazard,High,Fire Hazard Department
Citizens have repeatedly reported chemical discharge.,Pollution,Medium,Pollution Department
People are suffering because of broken school furniture.,Education,Medium,Education Department
The situation is worsening because of sewage overflow.,Sewage,High,Sewage Department
People are suffering because of water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Citizens have repeatedly reported industrial smoke.,Pollution,Medium,Pollution Department
The situation is worsening because of stray dog attack.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding streetlight not working.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding public grievance unresolved.,Government Services,Medium,Government Services Department
Urgent attention is required due to traffic noise.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of damaged streetlight pole.,Streetlight,Medium,Streetlight Department
There is a serious problem involving ecosystem damage.,Environment,Medium,Environment Department
Authorities have not resolved the unsafe bridge yet.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the damaged streetlight pole yet.,Streetlight,Medium,Streetlight Department
Multiple complaints have been raised about unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Authorities have not resolved the signal malfunction yet.,Transport,Medium,Transport Department
Citizens have repeatedly reported fire safety violation.,Fire Hazard,High,Fire Hazard Department
Please take immediate action regarding monkey nuisance.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of favoritism complaint.,Corruption,Medium,Corruption Department
Authorities have not resolved the loss of green cover yet.,Environment,Medium,Environment Department
People are suffering because of poor sanitation in hospital.,Healthcare,High,Healthcare Department
The locality has been affected by unsafe area for several days.,Public Safety,Medium,Public Safety Department
Authorities have not resolved the fertilizer shortage yet.,Agriculture,Medium,Agriculture Department
The situation is worsening because of missing child report.,Women & Child Safety,High,Women & Child Safety Department
People are suffering because of lack of doctors.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported missing lights.,Streetlight,Medium,Streetlight Department
Citizens have repeatedly reported stray dog attack.,Animal Issues,Medium,Animal Issues Department
There is a serious problem involving overgrown vegetation.,Parks,Low,Parks Department
Residents are facing pest infestation in the area.,Agriculture,Medium,Agriculture Department
Citizens have repeatedly reported bus delay.,Transport,Medium,Transport Department
Authorities have not resolved the illegal occupation yet.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to overflowing dustbins.,Waste,Medium,Waste Department
Authorities have not resolved the double parking yet.,Parking,Low,Parking Department
Authorities have not resolved the signal malfunction yet.,Transport,Medium,Transport Department
Residents are facing robbery case in the area.,Crime,High,Crime Department
Please take immediate action regarding blocked drain.,Drainage,Medium,Drainage Department
Authorities have not resolved the double parking yet.,Parking,Low,Parking Department
Urgent attention is required due to network outage.,Telecom,Medium,Telecom Department
People are suffering because of traffic congestion.,Transport,Medium,Transport Department
The situation is worsening because of poor public transport.,Transport,Medium,Transport Department
Multiple complaints have been raised about lack of doctors.,Healthcare,High,Healthcare Department
Authorities have not resolved the unsafe pedestrian crossing yet.,Public Safety,Medium,Public Safety Department
Urgent attention is required due to assault report.,Crime,High,Crime Department
Urgent attention is required due to fire safety violation.,Fire Hazard,High,Fire Hazard Department
Authorities have not resolved the abandoned building risk yet.,Public Safety,Medium,Public Safety Department
Authorities have not resolved the overgrown vegetation yet.,Parks,Low,Parks Department
There is a serious problem involving server downtime.,Digital Services,Low,Digital Services Department
Citizens have repeatedly reported harassment of women.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
Residents are facing poor mobile signal in the area.,Telecom,Medium,Telecom Department
The situation is worsening because of contaminated drinking water.,Water,High,Water Department
Multiple complaints have been raised about ambulance delay.,Healthcare,High,Healthcare Department
Authorities have not resolved the unsafe school route yet.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding irrigation issue.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about internet disruption.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about bus delay.,Transport,Medium,Transport Department
There is a serious problem involving industrial smoke.,Pollution,Medium,Pollution Department
Authorities have not resolved the harassment of women yet.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported flood risk.,Flooding,High,Flooding Department
Residents are facing school infrastructure issue in the area.,Education,Medium,Education Department
Residents are facing child safety concern in the area.,Women & Child Safety,High,Women & Child Safety Department
Multiple complaints have been raised about lack of police patrol.,Public Safety,Medium,Public Safety Department
